
 num     #instances         #bytes  class name
 317:           177           4248  java.util.regex.Pattern$GroupTail
 318:           176           4224  org.apache.spark.streaming.Time
 319:           261           4176  java.util.HashMap$EntrySet
 320:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 321:           129           4128  java.security.CodeSource
 322:           129           4128  org.apache.kafka.common.metrics.stats.Max
 323:             1           4120  [Lscala.math.BigDecimal;
 324:             1           4024  [Lorg.antlr.v4.runtime.misc.Interval;
 325:           125           4000  scala.collection.immutable.Set$Set4
 326:            62           3968  org.apache.spark.sql.execution.ui.SQLExecutionUIData
 327:           124           3968  org.apache.spark.unsafe.types.UTF8String
 328:            98           3920  javax.management.ObjectName
 329:           122           3904  java.lang.ThreadLocal$ThreadLocalMap$Entry
 330:           121           3872  org.apache.spark.sql.execution.CoalescedPartitioner
 331:           237           3792  org.apache.spark.rdd.RDD$$anonfun$map$1$$anonfun$apply$5
 332:           229           3760  [Lorg.apache.kafka.common.metrics.Sensor;
 333:           116           3712  sun.security.util.ObjectIdentifier
 334:           129           3664  [Lscala.Tuple2;
 335:            64           3584  org.apache.spark.sql.catalyst.expressions.In
 336:            26           3536  io.netty.buffer.PoolArena$DirectArena
 337:            26           3536  io.netty.buffer.PoolArena$HeapArena
 338:           219           3504  scala.collection.mutable.BitSet
 339:            87           3480  java.security.AccessControlContext
 340:            62           3472  java.lang.invoke.MethodTypeForm
 341:            31           3472  org.apache.spark.sql.execution.FilterExec
 342:            72           3456  java.lang.invoke.LambdaForm
 343:            72           3456  java.util.TreeMap
 344:           216           3456  java.util.concurrent.atomic.AtomicReference
 345:            77           3432  [Ljava.lang.invoke.LambdaForm$Name;
 346:           143           3432  scala.collection.mutable.WrappedArray$ofRef
 347:            41           3408  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 348:           186           3400  [Lsun.reflect.generics.tree.TypeArgument;
 349:           212           3392  org.apache.spark.rdd.RDD$$anonfun$mapPartitionsWithIndex$1$$anonfun$apply$26
 350:           210           3360  com.sun.proxy.$Proxy17
 351:            60           3360  java.security.Provider$Service
 352:            60           3360  org.antlr.v4.runtime.atn.StarLoopEntryState
 353:            30           3360  org.apache.spark.sql.execution.joins.SortMergeJoinExec
