Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
37.124: [GC (Allocation Failure) [PSYoungGen: 161939K->4361K(166912K)] 257979K->100673K(507392K), 0.0057801 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
37.177: [GC (Allocation Failure) [PSYoungGen: 165129K->2779K(167424K)] 261441K->99662K(507904K), 0.0042473 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.238: [GC (Allocation Failure) [PSYoungGen: 163213K->2761K(167936K)] 260095K->99764K(508416K), 0.0043123 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.300: [GC (Allocation Failure) [PSYoungGen: 164553K->2404K(167936K)] 261556K->99519K(508416K), 0.0037851 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
37.360: [GC (Allocation Failure) [PSYoungGen: 164196K->2417K(167936K)] 261311K->99660K(508416K), 0.0047836 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.440: [GC (Allocation Failure) [PSYoungGen: 164706K->3496K(167936K)] 261948K->100938K(508416K), 0.0054926 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.511: [GC (Allocation Failure) [PSYoungGen: 165800K->2642K(167936K)] 263242K->100188K(508416K), 0.0050747 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.597: [GC (Allocation Failure) [PSYoungGen: 165970K->2147K(168448K)] 263516K->99813K(508928K), 0.0042920 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.691: [GC (Allocation Failure) [PSYoungGen: 165475K->1447K(169472K)] 263141K->99751K(509952K), 0.0043262 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
37.797: [GC (Allocation Failure) [PSYoungGen: 165799K->1668K(169472K)] 264103K->100124K(509952K), 0.0069940 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
45.133: [GC (Allocation Failure) [PSYoungGen: 166020K->1690K(169472K)] 264476K->100385K(509952K), 0.0046798 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
45.228: [GC (Allocation Failure) [PSYoungGen: 166042K->2498K(166912K)] 264737K->102411K(507392K), 0.0065694 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
45.322: [GC (Allocation Failure) [PSYoungGen: 166850K->1773K(168960K)] 266763K->101918K(509440K), 0.0058851 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
45.466: [GC (Allocation Failure) [PSYoungGen: 166125K->548K(168960K)] 266270K->100868K(509440K), 0.0047075 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
45.636: [GC (Allocation Failure) [PSYoungGen: 164900K->3687K(168960K)] 265220K->104309K(509440K), 0.0081496 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
45.720: [GC (Allocation Failure) [PSYoungGen: 168039K->2676K(169472K)] 268661K->104670K(509952K), 0.0046995 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
45.813: [GC (Allocation Failure) [PSYoungGen: 167028K->2552K(168448K)] 269022K->105226K(508928K), 0.0044668 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
45.966: [GC (Allocation Failure) [PSYoungGen: 166904K->3097K(168960K)] 269578K->106519K(509440K), 0.0051623 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
46.078: [GC (Allocation Failure) [PSYoungGen: 167449K->2621K(169472K)] 270871K->106893K(509952K), 0.0046836 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
46.185: [GC (Allocation Failure) [PSYoungGen: 167485K->2760K(169472K)] 271757K->107788K(509952K), 0.0044258 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
46.263: [GC (Allocation Failure) [PSYoungGen: 167624K->3034K(169984K)] 272652K->109430K(510464K), 0.0102087 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
46.576: [GC (Allocation Failure) [PSYoungGen: 168150K->4580K(169984K)] 274546K->116005K(510464K), 0.0110212 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
46.679: [GC (Allocation Failure) [PSYoungGen: 169956K->1355K(164864K)] 281381K->114227K(505344K), 0.0054301 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
46.798: [GC (Allocation Failure) [PSYoungGen: 161611K->1539K(167424K)] 274483K->114704K(507904K), 0.0135806 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
46.915: [GC (Allocation Failure) [PSYoungGen: 161795K->1060K(166400K)] 274960K->114393K(506880K), 0.0051953 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
47.015: [GC (Allocation Failure) [PSYoungGen: 161316K->788K(166912K)] 274649K->114369K(507392K), 0.0047294 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
47.140: [GC (Allocation Failure) [PSYoungGen: 161044K->969K(167936K)] 274625K->114798K(508416K), 0.0040093 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
47.226: [GC (Allocation Failure) [PSYoungGen: 162249K->2385K(163840K)] 276078K->116486K(504320K), 0.0057801 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
47.307: [GC (Allocation Failure) [PSYoungGen: 163665K->3592K(167424K)] 277766K->118272K(507904K), 0.0054458 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
47.395: [GC (Allocation Failure) [PSYoungGen: 164872K->4554K(167424K)] 279552K->119338K(507904K), 0.0060966 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
47.477: [GC (Allocation Failure) [PSYoungGen: 165834K->2624K(167936K)] 280618K->117496K(508416K), 0.0091329 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
47.556: [GC (Allocation Failure) [PSYoungGen: 164416K->3622K(167936K)] 279288K->118693K(508416K), 0.0159628 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
47.631: [GC (Allocation Failure) [PSYoungGen: 165414K->5745K(166400K)] 280485K->120904K(506880K), 0.0189268 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
47.700: [GC (Allocation Failure) [PSYoungGen: 166001K->4161K(167424K)] 281160K->119536K(507904K), 0.0145629 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
47.789: [GC (Allocation Failure) [PSYoungGen: 161881K->506K(167424K)] 277256K->115977K(507904K), 0.0052484 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
47.888: [GC (Allocation Failure) [PSYoungGen: 160762K->1738K(167424K)] 276233K->117491K(507904K), 0.0136789 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
